Fire_Lons,Fire_Lats
143.508,-16.547
143.92,-16.477
143.906,-16.479
143.484,-16.541
143.269,-16.572
143.451,-16.531
143.946,-16.446
143.093,-16.569
142.711,-16.623
143.869,-16.443
143.675,-16.471
143.614,-16.48
143.401,-16.511
143.355,-16.517
143.2,-16.539
142.463,-16.643
142.413,-16.65
143.838,-16.434
143.089,-16.541
143.026,-16.55
143.701,-16.44
143.008,-16.538
142.977,-16.542
143.287,-16.485
143.085,-16.513
143.053,-16.518
142.879,-16.542
144.333,-16.32
142.781,-16.541
142.57,-16.57
142.203,-16.62
144.324,-16.309
143.323,-16.456
143.168,-16.478
143.121,-16.485
143.15,-16.466
143.072,-16.478
142.819,-16.514
143.148,-16.453
143.133,-16.455
143.07,-16.464
142.769,-16.507
142.623,-16.527
141.932,-16.623
137.733,-17.159
143.546,-16.382
142.879,-16.477
142.815,-16.486
142.651,-16.494
144.005,-16.287
142.888,-16.433
142.792,-16.446
142.467,-16.491
142.465,-16.477
142.382,-16.488
142.893,-16.41
142.765,-16.428
142.34,-16.488
143.049,-16.373
142.891,-16.396
142.52,-16.448
142.438,-16.46
142.321,-16.476
143.031,-16.362
142.984,-16.369
142.873,-16.384
142.809,-16.393
142.729,-16.405
142.616,-16.421
142.551,-16.43
142.518,-16.434
142.485,-16.439
142.791,-16.382
142.614,-16.406
144.32,-16.147
142.448,-16.415
142.431,-16.417
144.333,-16.132
142.61,-16.378
142.544,-16.387
142.479,-16.396
142.429,-16.403
144.316,-16.12
144.287,-16.125
144.272,-16.127
143.86,-16.187
143.163,-16.287
143.132,-16.291
143.054,-16.302
142.975,-16.313
142.591,-16.366
142.444,-16.387
142.427,-16.389
142.361,-16.398
144.299,-16.109
144.285,-16.111
144.27,-16.113
142.425,-16.375
142.409,-16.377
142.375,-16.382
144.29,-16.098
144.275,-16.1
143.027,-16.283
142.71,-16.328
142.629,-16.339
143.134,-16.253
143.087,-16.26
142.627,-16.325
141.975,-16.417
144.344,-16.063
143.65,-16.165
143.132,-16.239
143.038,-16.253
142.976,-16.262
142.462,-16.334
138.389,-16.867
144.371,-16.045
143.284,-16.204
143.13,-16.226
143.036,-16.239
142.942,-16.252
142.704,-16.286
142.623,-16.297
138.406,-16.847
138.387,-16.849
138.368,-16.852
142.94,-16.238
138.404,-16.829
138.385,-16.831
138.366,-16.833
142.731,-16.253
142.699,-16.258
136.781,-16.995
136.76,-16.998
142.857,-16.222
142.665,-16.248
142.727,-16.225
143.05,-16.172
142.638,-16.231
143.172,-16.14
142.764,-16.198
142.732,-16.203
143.491,-16.08
143.324,-16.104
143.046,-16.144
142.553,-16.214
143.028,-16.132
142.387,-16.223
143.228,-16.09
143.057,-16.114
142.774,-16.154
142.467,-16.197
136.763,-16.912
134.886,-17.113
145.064,-15.806
144.963,-15.821
143.195,-16.081
136.761,-16.892
144.774,-15.836
144.745,-15.841
143.901,-15.965
142.802,-16.122
142.69,-16.137
142.164,-16.21
144.858,-15.81
144.844,-15.812
143.899,-15.952
143.884,-15.954
144.733,-15.816
143.919,-15.937
143.516,-15.996
143.243,-16.036
142.647,-16.121
142.403,-16.156
142.287,-16.172
142.085,-16.201
144.645,-15.816
143.931,-15.922
142.351,-16.149
142.134,-16.179
136.75,-16.869
144.715,-15.791
143.944,-15.906
143.452,-15.978
143.193,-16.015
142.283,-16.144
136.748,-16.848
144.741,-15.774
143.45,-15.964
143.91,-15.883
143.851,-15.892
142.924,-16.025
142.638,-16.065
142.279,-16.115
143.923,-15.868
142.907,-16.013
142.636,-16.051
142.21,-16.11
142.193,-16.113
142.126,-16.122
145.051,-15.686
142.92,-15.997
142.714,-16.026
142.14,-16.105
145.02,-15.677
142.189,-16.084
142.172,-16.086
142.121,-16.093
142.105,-16.095
142.054,-16.102
142.624,-16.017
142.608,-16.019
142.559,-16.026
142.248,-16.07
142.08,-16.094
142.063,-16.096
143.834,-15.828
142.908,-15.962
142.876,-15.967
142.813,-15.976
142.702,-15.992
142.46,-16.026
143.353,-15.884
142.906,-15.949
142.716,-15.975
142.458,-16.012
142.442,-16.014
142.16,-16.054
143.904,-15.79
143.381,-15.866
142.888,-15.937
142.872,-15.939
142.521,-15.989
142.456,-15.998
142.158,-16.039
143.916,-15.775
143.902,-15.777
143.026,-15.903
142.886,-15.923
142.807,-15.934
142.664,-15.954
142.454,-15.984
142.437,-15.986
142.156,-16.025
142.993,-15.894
142.884,-15.909
142.868,-15.911
142.852,-15.914
142.836,-15.916
142.821,-15.918
142.789,-15.922
142.725,-15.931
142.646,-15.943
143.971,-15.739
142.85,-15.9
142.834,-15.902
142.787,-15.909
142.771,-15.911
142.692,-15.922
142.676,-15.924
142.482,-15.951
142.449,-15.955
142.433,-15.958
141.809,-16.043
141.74,-16.052
144.246,-15.685
143.969,-15.726
142.895,-15.879
142.864,-15.884
142.689,-15.908
142.673,-15.91
142.593,-15.921
142.447,-15.941
142.415,-15.946
143.945,-15.717
143.93,-15.72
143.768,-15.744
143.753,-15.746
142.423,-15.938
144.481,-15.624
144.264,-15.656
144.206,-15.665
143.943,-15.704
143.766,-15.73
143.751,-15.732
142.853,-15.862
142.837,-15.864
142.821,-15.867
142.742,-15.878
142.469,-15.917
142.42,-15.924
143.999,-15.682
143.955,-15.688
143.941,-15.691
142.835,-15.851
142.819,-15.853
142.772,-15.86
142.724,-15.866
142.516,-15.896
142.5,-15.898
142.483,-15.9
142.353,-15.919
137.547,-16.542
145.023,-15.515
143.997,-15.668
143.982,-15.671
142.786,-15.843
142.77,-15.846
142.0,-15.953
137.629,-16.513
144.243,-15.619
144.214,-15.623
144.01,-15.653
143.188,-15.772
142.878,-15.816
142.72,-15.838
142.592,-15.856
142.56,-15.861
142.479,-15.872
142.414,-15.881
137.627,-16.494
144.458,-15.573
144.008,-15.639
143.978,-15.644
142.907,-15.798
142.813,-15.811
142.59,-15.842
142.477,-15.858
137.625,-16.475
137.604,-16.478
144.035,-15.622
143.991,-15.628
143.622,-15.682
143.26,-15.734
142.779,-15.802
142.748,-15.806
142.7,-15.813
142.636,-15.822
142.507,-15.839
142.459,-15.846
142.41,-15.853
143.871,-15.632
143.135,-15.737
142.903,-15.77
142.84,-15.779
142.825,-15.781
142.586,-15.814
142.538,-15.821
141.923,-15.905
141.871,-15.912
144.038,-15.596
143.994,-15.602
143.862,-15.622
143.142,-15.727
142.847,-15.77
142.831,-15.772
142.784,-15.779
142.737,-15.785
142.561,-15.811
142.545,-15.813
141.88,-15.907
144.485,-15.516
144.239,-15.552
144.167,-15.563
144.094,-15.574
144.065,-15.578
144.036,-15.583
144.021,-15.585
143.262,-15.696
143.247,-15.698
143.124,-15.716
142.892,-15.749
142.845,-15.756
142.798,-15.763
142.782,-15.765
142.766,-15.767
142.735,-15.772
142.575,-15.794
142.559,-15.797
142.543,-15.799
142.511,-15.803
142.43,-15.815
141.947,-15.883
141.929,-15.885
141.895,-15.89
144.713,-15.468
144.512,-15.498
143.26,-15.682
143.245,-15.684
143.107,-15.704
142.921,-15.731
142.827,-15.744
142.796,-15.749
142.764,-15.753
142.748,-15.755
142.653,-15.769
142.637,-15.771
142.541,-15.785
142.492,-15.792
142.476,-15.794
142.46,-15.796
142.297,-15.819
141.979,-15.864
141.91,-15.873
144.119,-15.543
144.017,-15.558
144.002,-15.56
143.988,-15.562
143.87,-15.579
143.855,-15.582
143.135,-15.686
142.856,-15.726
142.841,-15.728
142.825,-15.73
142.73,-15.744
142.699,-15.748
142.587,-15.764
142.507,-15.775
142.442,-15.784
142.425,-15.787
142.409,-15.789
142.294,-15.805
141.7,-15.887
144.219,-15.514
144.131,-15.527
144.117,-15.529
144.102,-15.532
144.0,-15.547
143.587,-15.607
142.87,-15.71
142.854,-15.712
142.744,-15.728
142.728,-15.73
142.665,-15.739
142.456,-15.768
142.44,-15.77
142.423,-15.773
142.276,-15.793
141.94,-15.839
141.923,-15.842
144.202,-15.503
144.187,-15.505
144.1,-15.518
144.056,-15.525
142.837,-15.7
142.726,-15.716
142.631,-15.729
142.615,-15.731
142.599,-15.734
142.454,-15.754
142.438,-15.756
142.421,-15.758
142.405,-15.761
141.921,-15.827
144.301,-15.475
144.171,-15.494
143.282,-15.623
142.645,-15.713
142.435,-15.742
142.419,-15.744
142.403,-15.747
142.139,-15.783
142.004,-15.801
141.919,-15.813
141.798,-15.829
144.372,-15.451
144.198,-15.476
144.183,-15.479
144.169,-15.481
143.066,-15.64
142.722,-15.688
142.69,-15.692
142.674,-15.695
142.659,-15.697
142.547,-15.712
142.45,-15.726
142.433,-15.728
142.417,-15.73
142.137,-15.769
142.07,-15.778
142.053,-15.78
141.796,-15.815
141.779,-15.817
144.376,-15.437
144.232,-15.459
144.217,-15.461
144.203,-15.463
144.188,-15.465
142.713,-15.681
142.634,-15.692
142.506,-15.711
142.457,-15.717
142.441,-15.72
142.425,-15.722
142.409,-15.724
142.392,-15.727
142.044,-15.776
141.977,-15.785
141.943,-15.79
141.805,-15.809
141.788,-15.812
144.648,-15.383
144.23,-15.446
143.718,-15.521
142.616,-15.68
142.6,-15.683
142.52,-15.694
142.504,-15.696
142.439,-15.706
142.423,-15.708
142.406,-15.71
142.39,-15.713
142.059,-15.759
142.025,-15.764
141.992,-15.769
141.941,-15.776
141.838,-15.79
141.821,-15.792
141.803,-15.795
141.786,-15.797
141.734,-15.804
144.632,-15.372
144.257,-15.428
143.006,-15.611
142.63,-15.664
142.598,-15.669
142.582,-15.671
142.534,-15.678
142.518,-15.68
142.501,-15.682
142.453,-15.689
142.437,-15.692
142.421,-15.694
142.372,-15.701
142.174,-15.728
142.157,-15.731
142.141,-15.733
141.767,-15.785
141.749,-15.787
144.701,-15.348
144.644,-15.356
144.629,-15.359
144.356,-15.4
144.312,-15.406
144.298,-15.408
144.24,-15.417
144.226,-15.419
144.211,-15.421
144.197,-15.423
143.52,-15.522
142.628,-15.65
142.58,-15.657
142.564,-15.659
142.483,-15.671
142.467,-15.673
142.451,-15.675
142.435,-15.677
142.155,-15.716
142.139,-15.719
142.122,-15.721
141.834,-15.761
141.816,-15.763
144.685,-15.337
144.627,-15.345
144.613,-15.347
144.296,-15.395
144.281,-15.397
143.697,-15.483
142.721,-15.623
142.689,-15.627
142.673,-15.63
142.641,-15.634
142.594,-15.641
142.578,-15.643
142.562,-15.645
142.449,-15.661
142.433,-15.663
142.22,-15.693
142.203,-15.695
142.187,-15.698
142.17,-15.7
142.153,-15.702
141.866,-15.742
141.728,-15.761
144.294,-15.381
144.279,-15.384
144.207,-15.394
143.516,-15.495
143.486,-15.5
143.381,-15.515
142.639,-15.62
142.607,-15.625
142.543,-15.633
142.365,-15.658
142.349,-15.661
142.218,-15.679
142.168,-15.686
142.151,-15.688
142.135,-15.69
141.983,-15.711
141.932,-15.718
141.915,-15.72
141.847,-15.73
141.812,-15.734
141.725,-15.746
141.708,-15.749
143.499,-15.484
142.637,-15.606
142.605,-15.611
142.347,-15.646
142.216,-15.665
142.166,-15.671
142.149,-15.674
142.132,-15.676
142.116,-15.678
141.896,-15.708
141.723,-15.732
141.706,-15.734
144.678,-15.297
144.664,-15.299
143.497,-15.47
143.377,-15.487
143.362,-15.49
142.934,-15.55
142.635,-15.592
142.619,-15.594
142.587,-15.599
142.571,-15.601
142.539,-15.605
142.507,-15.61
142.491,-15.612
142.329,-15.635
142.23,-15.648
142.164,-15.657
142.114,-15.664
141.877,-15.696
141.721,-15.717
141.704,-15.719
144.698,-15.281
144.684,-15.283
144.669,-15.286
