Lons,Lats
151.14938354492188,-33.25963592529297
151.14781188964844,-33.25288009643555
151.6930694580078,-31.893089294433594
145.959228515625,-32.3233642578125
146.52102661132812,-31.534358978271484
146.5120849609375,-31.535518646240234
146.519775390625,-31.527381896972656
146.71603393554688,-31.450572967529297
152.57028198242188,-29.865739822387695
152.55084228515625,-29.730037689208984
151.34017944335938,-29.74476432800293
151.33859252929688,-29.73776626586914
152.81459045410156,-29.2998046875
152.05078125,-29.41623878479004
152.04127502441406,-29.417949676513672
152.46128845214844,-29.263317108154297
152.4595489501953,-29.25595474243164
152.34552001953125,-29.207971572875977
151.8115997314453,-29.3054256439209
152.3340301513672,-29.202463150024414
152.34506225585938,-29.19875144958496
152.33526611328125,-29.20051383972168
149.3592071533203,-29.6127872467041
151.99380493164062,-29.107479095458984
151.98431396484375,-29.109189987182617
148.38731384277344,-29.277326583862305
152.14060974121094,-28.58484649658203
152.13087463378906,-28.58664321899414
152.13893127441406,-28.577510833740234
152.1417694091797,-28.582887649536133
152.1320343017578,-28.584638595581055
152.14007568359375,-28.575559616088867
151.27261352539062,-28.59775161743164
151.2636260986328,-28.59931182861328
152.86537170410156,-28.169906616210938
148.54922485351562,-28.806425094604492
150.6855926513672,-28.452791213989258
150.67697143554688,-28.454265594482422
151.42376708984375,-28.245590209960938
150.0975799560547,-28.23387336730957
150.0961456298828,-28.227039337158203
150.10302734375,-28.21881675720215
150.09471130371094,-28.220211029052734
150.09327697753906,-28.2133846282959
150.32479858398438,-28.115612030029297
150.3233184814453,-28.10873031616211
149.3817901611328,-28.24251937866211
149.37374877929688,-28.243825912475586
150.216552734375,-27.801437377929688
150.20814514160156,-27.802837371826172
150.17164611816406,-27.794723510742188
151.1575927734375,-27.603546142578125
151.1485595703125,-27.605127334594727
151.9514923095703,-27.14212989807129
151.9149169921875,-27.063385009765625
149.9396209716797,-27.37834930419922
149.9313201904297,-27.379735946655273
150.04391479492188,-27.252212524414062
149.2180938720703,-27.38142967224121
149.22474670410156,-27.37338638305664
149.21673583984375,-27.374685287475586
152.2213592529297,-26.83566665649414
152.2681121826172,-26.749799728393555
151.68048095703125,-26.802352905273438
147.92811584472656,-27.42206382751465
151.13136291503906,-26.689701080322266
148.2880096435547,-27.157560348510742
148.28672790527344,-27.150888442993164
148.27891540527344,-27.152095794677734
148.27110290527344,-27.153303146362305
148.2633056640625,-27.154510498046875
148.67291259765625,-26.853490829467773
148.67160034179688,-26.846790313720703
151.3365936279297,-26.23716163635254
149.73109436035156,-26.51011848449707
149.72283935546875,-26.511507034301758
149.714599609375,-26.512889862060547
149.7296905517578,-26.503267288208008
149.721435546875,-26.504655838012695
