Lat,Lon
-32.4958635399999,134.195648634
-32.45208098799992,134.118011915
-32.4685197899999,134.09050540500004
-32.45907968499995,134.05298912900003
-32.49879322699991,134.0063582690001
-32.49822356599992,133.95232181100005
-32.52939218499995,133.90984134200005
-32.54705169099992,133.8877059250001
-32.54111093499995,133.85670006600003
-32.51336028399993,133.86117597700002
-32.494805596999925,133.86158287900003
-32.45159270599993,133.86052493600005
-32.39918385199991,133.89625084700003
-32.42001718499995,133.92986087300005
-32.375664971999925,133.9399520190001
-32.31365325299993,133.8950301440001
-32.24537525799991,133.82642662900003
-32.262790622999944,133.79509524800005
-32.2575822899999,133.76929772200003
-32.21648528399993,133.7607528000001
-32.201836846999925,133.71257571700005
-32.189385674999926,133.69206790500004
-32.16350676899992,133.69263756600003
-32.15325286299992,133.664886915
-32.129978122999944,133.6787215500001
-32.10165780999995,133.64918053500003
-32.10312265399995,133.58619225400003
-32.16350676899992,133.57252037900003
-32.15252044099992,133.50928795700008
-32.11484140399995,133.486664259
-32.1306291649999,133.4394637380001
-32.146416924999926,133.41480553500003
-32.16350676899992,133.45036868600005
-32.19963958099993,133.49431399800005
-32.192071221999925,133.44849694100003
-32.20134856599992,133.427093946
-32.20598723799992,133.356781446
-32.21493905999995,133.27947024800005
-32.201104424999926,133.24488366000003
-32.184665622999944,133.19263756600003
-32.19768645599993,133.1547957690001
-32.187758070999905,133.14283287900003
-32.09710051899992,133.03394616000003
-32.10662200299993,132.99626712300005
-32.100681247999944,132.9731551440001
-32.06731536299992,132.95297285200002
-31.99065520599993,132.844086134
-31.949476820999905,132.75269616000003
-31.934747002999927,132.587250196
-31.947198174999926,132.494476759
-31.983982028999947,132.45289147200003
-32.026462497999944,132.48316491000003
-32.01962655999995,132.44166100400003
-32.01506926899992,132.37484785200002
-32.0329729149999,132.233734571
-31.932386976999908,132.1074324880001
-31.72779713299991,131.78296959700003
-31.477634372999944,131.17750084700003
-31.554294528999947,130.993500196
-31.60556405999995,130.69678795700008
-31.574476820999905,130.26742597700002
-31.59433359199994,130.07878665500004
-31.622247002999927,129.53687584700003
-31.643324476999908,129.36548912900003
-31.65439218499995,129.22136478000004
-31.678887627999927,129.12370853000004
-31.690524997999944,128.99000084700003
-31.793633721999925,128.75538170700008
-32.01767343499995,128.21892337300005
-32.18238697699991,127.58594811300009
-32.20712655999995,127.53785241000003
-32.29338958099993,127.11011803500003
-32.303806247999944,127.05298912900003
-32.300713799999926,126.78891035200002
-32.28281015399995,126.37232506600003
-32.238539320999905,126.20362389400009
-32.24537525799991,126.13786868600005
-32.273370049999926,126.10377037900003
-32.2843401099999,125.97744898500002
-32.37447839299995,125.80311856200001
-32.56386030199991,125.47422755700006
-32.71217213299991,125.09644616000003
-32.73723723799992,125.00025475400003
-32.89218515399995,124.74586022200003
-32.95281340899993,124.35694420700008
-33.01336028399993,124.25489342500009
-33.03801848799992,124.20118248800009
-33.15569426899992,124.09473717500009
-33.25359465899993,124.06967207100001
-33.354180596999925,124.00831139400009
-33.37704843499995,124.00709069100003
-33.43564218499995,123.98878014400009
-33.547133070999905,123.96111087300005
-33.57903411299992,123.91089928500003
-33.61646900799991,123.86304772200003
-33.62558359199994,123.86475670700008
-33.65837981599992,123.81519616000003
-33.75798919099992,123.73487389400009
-33.78801848799992,123.73861738400001
-33.816338799999926,123.71078535200002
-33.85125090899993,123.64161217500009
-33.87737395599993,123.61207116000003
-33.93865325299993,123.52662194100003
-33.91887786299992,123.47836347700002
-33.890883070999905,123.38331139400009
-33.98650481599992,123.26661217500009
-33.996026299999926,123.22388756600003
